TF,atr,mult_e,mult_t,mode,sesi,n,net,PF,WR%,avgR,maxDD,hijau,netSide,netBull,avgR_side
M15,14,1.8,-,direct,all,6661,-1033,0.96,34.5,-0.0451,-1341,1/6,-966,-67,-0.0617
M15,14,1.8,-,direct,asia,1350,282,1.06,36.5,-0.0316,-427,1/6,-191,473,-0.0606
M15,14,1.8,-,direct,ny,2006,573,1.06,37.6,0.0123,-385,4/6,169,404,0.0123
M15,14,1.8,2.5,moderate,all,5472,-763,0.97,33.5,-0.0441,-1597,2/6,-1221,458,-0.069
M15,14,1.8,2.5,moderate,asia,1125,9,1.0,34.3,-0.0689,-713,1/6,-308,317,-0.0953
M15,14,1.8,2.5,moderate,ny,1713,-196,0.98,36.5,-0.0186,-569,2/6,-65,-131,-0.0193
M15,14,1.8,2.5,conservative,all,2493,487,1.04,34.9,-0.0133,-560,4/6,-177,664,-0.0316
M15,14,1.8,2.5,conservative,asia,493,232,1.13,35.3,-0.0551,-334,2/6,-107,339,-0.0855
M15,14,1.8,2.5,conservative,ny,873,-13,1.0,36.3,-0.0172,-493,3/6,-8,-6,-0.0183
M15,14,1.8,-,buy_only,all,3330,348,1.02,36.3,-0.011,-809,2/6,-452,801,-0.0626
M15,14,1.8,-,buy_only,asia,662,-151,0.94,38.1,-0.0224,-269,3/6,-122,-29,-0.0732
M15,14,1.8,-,buy_only,ny,973,-39,0.99,38.2,0.0181,-610,4/6,6,-45,-0.0067
M15,14,1.8,-,sell_only,all,3331,-1381,0.91,32.8,-0.0791,-2142,1/6,-514,-867,-0.0608
M15,14,1.8,-,sell_only,asia,688,433,1.16,35.0,-0.0405,-464,1/6,-69,502,-0.048
M15,14,1.8,-,sell_only,ny,1033,612,1.12,37.1,0.0068,-256,4/6,163,449,0.0305
M15,14,1.8,3.8,moderate,all,4483,-642,0.97,33.9,-0.0422,-1567,2/6,-954,312,-0.0644
M15,14,1.8,3.8,moderate,asia,864,-498,0.86,33.2,-0.0659,-711,1/6,-221,-278,-0.087
M15,14,1.8,3.8,moderate,ny,1462,337,1.05,37.9,-0.0228,-676,3/6,4,333,-0.028
M15,14,1.8,3.8,conservative,all,2405,1430,1.14,34.4,-0.0161,-652,3/6,-289,1719,-0.0504
M15,14,1.8,3.8,conservative,asia,496,154,1.09,33.5,-0.0659,-407,2/6,-142,296,-0.1022
M15,14,1.8,3.8,conservative,ny,749,649,1.17,36.6,0.0073,-421,4/6,34,615,-0.027
M15,14,1.8,5.0,moderate,all,4086,590,1.03,34.5,-0.0286,-1069,2/6,-651,1241,-0.0582
M15,14,1.8,5.0,moderate,asia,721,367,1.14,35.1,-0.031,-356,3/6,-137,504,-0.0632
M15,14,1.8,5.0,moderate,ny,1330,582,1.09,38.5,0.0097,-394,4/6,149,433,-0.0073
M15,14,1.8,5.0,conservative,all,2701,1746,1.15,35.2,-0.0101,-465,3/6,-312,2059,-0.0528
M15,14,1.8,5.0,conservative,asia,539,526,1.28,35.1,-0.027,-276,2/6,-99,625,-0.0529
M15,14,1.8,5.0,conservative,ny,826,766,1.19,38.3,0.0511,-420,5/6,187,580,0.029
M15,14,2.5,-,direct,all,4281,-97,1.0,33.4,-0.0471,-1594,2/6,-1224,1127,-0.0898
M15,14,2.5,-,direct,asia,853,104,1.03,33.5,-0.053,-487,1/6,-210,313,-0.0946
M15,14,2.5,-,direct,ny,1380,-771,0.91,35.9,-0.0386,-1089,1/6,-270,-501,-0.0463
M15,14,2.5,2.5,moderate,all,4281,-97,1.0,33.4,-0.0471,-1594,2/6,-1224,1127,-0.0898
M15,14,2.5,2.5,moderate,asia,853,104,1.03,33.5,-0.053,-487,1/6,-210,313,-0.0946
M15,14,2.5,2.5,moderate,ny,1380,-771,0.91,35.9,-0.0386,-1089,1/6,-270,-501,-0.0463
M15,14,2.5,2.5,conservative,all,4281,-97,1.0,33.4,-0.0471,-1594,2/6,-1224,1127,-0.0898
M15,14,2.5,2.5,conservative,asia,853,104,1.03,33.5,-0.053,-487,1/6,-210,313,-0.0946
M15,14,2.5,2.5,conservative,ny,1380,-771,0.91,35.9,-0.0386,-1089,1/6,-270,-501,-0.0463
M15,14,2.5,-,buy_only,all,2140,625,1.06,35.3,-0.0054,-727,3/6,-536,1161,-0.0733
M15,14,2.5,-,buy_only,asia,449,-174,0.92,34.1,-0.0815,-476,2/6,-212,38,-0.1405
M15,14,2.5,-,buy_only,ny,674,43,1.01,37.4,0.0162,-423,3/6,-66,109,-0.0296
