TF,atr,mult_e,sesi,mode,hijau,n_IS,PF_IS,avgR_IS,net_IS,DD_IS,n_OOS,PF_OOS,avgR_OOS,net_OOS,DD_OOS
M30,20,3.2,all,direct,4/7,1085,0.97,-0.015,-475.0,-1264.0,386,1.01,0.009,101.0,-2500.0
M30,20,1.8,ny,direct,2/6,703,0.92,-0.049,-1026.0,-1755.0,221,1.01,0.007,45.0,-1418.0
M30,7,1.2,ny,conservative,3/6,511,1.12,0.045,693.0,-578.0,177,1.0,0.002,10.0,-972.0
M30,7,1.8,london,direct,3/6,482,0.95,-0.035,-513.0,-1738.0,166,1.0,0.001,6.0,-890.0
M30,20,1.2,asia,conservative,2/6,262,0.94,-0.016,-125.0,-585.0,122,1.0,-0.001,-2.0,-725.0
M30,20,2.5,all,conservative,4/7,495,1.02,0.011,171.0,-572.0,166,0.98,-0.013,-67.0,-1245.0
H1,10,1.8,all,direct,4/7,1195,0.98,-0.01,-354.0,-1290.0,435,0.98,-0.015,-198.0,-2737.0
M30,7,2.5,all,direct,3/7,1597,0.97,-0.013,-625.0,-1712.0,536,0.98,-0.015,-240.0,-1918.0
H1,20,1.2,ny,direct,3/6,475,1.0,0.001,12.0,-1305.0,144,0.97,-0.023,-98.0,-1245.0
H1,14,1.8,all,direct,4/7,1181,1.01,0.003,122.0,-1326.0,433,0.96,-0.031,-407.0,-2847.0
M30,14,3.2,london,direct,5/6,205,1.49,0.348,2142.0,-677.0,70,0.95,-0.042,-89.0,-1305.0
M30,7,1.8,ny,conservative,1/6,332,0.9,-0.046,-454.0,-675.0,86,0.93,-0.05,-130.0,-484.0
M30,14,2.5,all,direct,3/7,1549,0.96,-0.021,-981.0,-1897.0,540,0.93,-0.054,-874.0,-2992.0
M30,10,2.5,all,direct,3/7,1561,0.97,-0.013,-594.0,-1588.0,540,0.93,-0.055,-890.0,-2815.0
M30,20,2.5,all,direct,2/7,1543,0.95,-0.023,-1042.0,-1965.0,542,0.91,-0.067,-1097.0,-2732.0
M30,10,3.2,all,direct,4/7,1099,0.98,-0.01,-340.0,-1542.0,386,0.91,-0.069,-802.0,-2944.0
H1,20,1.8,all,direct,4/7,1177,1.03,0.014,496.0,-1180.0,437,0.91,-0.071,-937.0,-3075.0
M30,14,1.8,london,direct,1/6,443,0.92,-0.053,-707.0,-1464.0,165,0.89,-0.098,-486.0,-1192.0
M30,7,3.2,all,direct,4/7,1127,0.97,-0.016,-539.0,-1332.0,382,0.87,-0.103,-1177.0,-3583.0
M30,20,3.2,ny,conservative,4/6,241,1.09,0.05,361.0,-461.0,67,0.87,-0.106,-213.0,-759.0
H1,14,1.8,ny,direct,2/6,331,1.02,0.014,138.0,-1907.0,97,0.86,-0.127,-370.0,-832.0
H1,10,1.2,london,direct,2/6,331,0.91,-0.064,-640.0,-1306.0,106,0.85,-0.127,-403.0,-1349.0
M30,14,2.5,london,direct,2/6,309,0.91,-0.068,-632.0,-1689.0,96,0.86,-0.128,-369.0,-1198.0
M30,20,3.2,ny,direct,3/6,376,1.14,0.094,1059.0,-1442.0,113,0.85,-0.137,-464.0,-826.0
H1,10,1.8,ny,direct,2/6,334,0.92,-0.054,-541.0,-2287.0,99,0.84,-0.138,-411.0,-819.0
H1,7,2.5,all,conservative,6/7,276,1.22,0.127,1052.0,-533.0,83,0.84,-0.14,-348.0,-811.0
