TF,mult_e,struct,TP_R,sesi,n,net,PF,WR%,avgR,maxDD,hijau,avgR_side,net_side,avgR_bull,net_bull
H1,1.8,10,2.0,ny,532,-193.0,0.98,36.1,-0.019,-1978.0,3/6,-0.01,7.0,-0.032,-200.0
M30,1.2,20,3.0,asia,1053,638.0,1.05,35.8,-0.019,-1748.0,3/6,-0.04,-504.0,0.005,1142.0
M30,1.2,20,5.0,asia,1053,782.0,1.06,35.7,-0.02,-1680.0,3/6,-0.053,-604.0,0.017,1386.0
M15,1.8,10,2.0,asia,1452,1116.0,1.07,37.1,-0.02,-988.0,3/6,-0.041,-383.0,0.005,1499.0
M30,1.8,10,4.0,asia,613,2226.0,1.2,31.8,-0.02,-1620.0,2/6,-0.07,-412.0,0.03,2638.0
H1,1.8,10,2.0,all,1629,-1012.0,0.98,34.9,-0.02,-2907.0,2/6,-0.023,-1034.0,-0.017,22.0
M15,1.2,20,flip,ny,2930,-1622.0,0.96,35.8,-0.02,-1884.0,1/6,-0.029,-748.0,-0.01,-874.0
M15,1.2,20,5.0,ny,2930,-1649.0,0.95,35.8,-0.02,-2054.0,1/6,-0.02,-584.0,-0.019,-1065.0
M30,1.2,10,2.0,asia,1053,1194.0,1.09,36.1,-0.021,-1572.0,3/6,-0.063,-624.0,0.026,1818.0
H1,1.2,10,3.0,asia,449,2046.0,1.21,32.7,-0.021,-907.0,2/6,-0.103,-508.0,0.059,2554.0
M15,1.2,20,4.0,ny,2930,-1672.0,0.95,35.8,-0.022,-2306.0,2/6,-0.023,-574.0,-0.02,-1098.0
M15,1.2,20,2.0,ny,2930,-2193.0,0.94,36.4,-0.022,-2468.0,1/6,-0.032,-865.0,-0.009,-1328.0
M15,1.2,10,3.0,asia,2276,2450.0,1.13,37.5,-0.024,-969.0,3/6,-0.049,-237.0,0.003,2687.0
M30,1.2,20,flip,asia,1053,601.0,1.05,35.7,-0.024,-1605.0,3/6,-0.042,-547.0,-0.004,1148.0
H1,1.8,10,flip,ny,532,-372.0,0.97,35.5,-0.024,-2320.0,3/6,-0.008,10.0,-0.048,-383.0
M30,1.8,10,flip,asia,613,2205.0,1.2,31.8,-0.025,-1620.0,2/6,-0.074,-464.0,0.023,2669.0
M15,1.2,10,5.0,ny,2930,-1629.0,0.96,35.6,-0.025,-2168.0,2/6,-0.028,-629.0,-0.02,-1000.0
M15,1.2,10,3.0,ny,2930,-1786.0,0.95,35.7,-0.025,-2254.0,2/6,-0.031,-655.0,-0.018,-1131.0
M15,1.2,20,3.0,asia,2276,2077.0,1.11,37.7,-0.025,-1081.0,3/6,-0.054,-355.0,0.007,2432.0
M30,1.8,20,flip,all,3307,3453.0,1.06,33.6,-0.025,-4822.0,2/6,-0.056,-1984.0,0.014,5437.0
